cont_id,transaction_id,payment_date,delivery_date,transaction_date,cont_residency_zip,store_name,prod_id,prod_family,prod_subfamily,prod_style,prod_name,other01,prod_category,prod_color,prod_price_net
100009731,100010106,1/15/2015,4/16/2015,1/15/2015,nan,MADISON,100056950,SOFAS,SECTIONALS,NOUVEAUX CLASSIQUES,LONG ISLAND,3-SEAT 1-ARM UNIT LEFT ARMREST,FABRICS,FABRICS CAT. 04,5422.5
100009731,100010106,1/15/2015,4/16/2015,1/15/2015,nan,MADISON,790029358,SOFAS,OTTOMANS (C),NOUVEAUX CLASSIQUES,LONG ISLAND,RECTANGULAR OTTOMAN,FABRICS,FABRICS CAT. 04,1377
100009732,100009919,12/8/2014,12/10/2014,12/8/2014,7020,MADISON,790165843,SOFAS,SECTIONALS,LES CONTEMPORAINS,CARACTERE,3-SEAT 1-ARM UNIT LEFT ARMREST,LEATHER,LEATHER CAT. 03,4045
100009755,100012857,7/9/2016,11/16/2016,7/9/2016,7078,MADISON,100056836,ACCESSORIES,nan,nan,FLUTE 2,VASE,CERAMIC,BLUE,279
100009755,100012746,9/29/2016,9/29/2016,9/29/2016,7078,MADISON,790230868,COMPLEMENTARY PIECES,OCCASIONAL TABLES,LES CONTEMPORAINS,RADIAN,TALL OCCASIONAL TABLE,FINISH,CERAMIC - CAT AB,850
100009758,100009964,12/17/2014,5/19/2015,12/17/2014,84098,MADISON,790174750,STORAGE UNITS,SIDEBOARDS,LES CONTEMPORAINS,COLORS WOOD,"SIDEBOARD 2 DOORS, 2 DRAWERS",FINISH,OAK,6281.5
100009765,100010524,4/3/2015,12/1/2015,4/3/2015,18414,MADISON,100057139,TABLES,DINING TABLES,NOUVEAUX CLASSIQUES,GRAND HOTEL DINING ROOM,RECTANGULAR DINING TABLE,FINISH,A-HIGH GLOSS/SATIN FINISHED,6759
100009765,100010523,4/3/2015,11/30/2015,4/3/2015,18414,MADISON,790101994,MEUBLE MEUBLES DE COMPLE,TABLE BASSE,LES CONTEMPORAINS,OVNI,ROUND COCKTAIL TABLE D.120,NO CATEGORY,TRANSPARENT,2182.5
100009765,100010523,4/3/2015,11/30/2015,4/3/2015,18414,MADISON,790101995,MEUBLE MEUBLES DE COMPLE,TABLE BASSE,LES CONTEMPORAINS,OVNI,ROUND COCKTAIL TABLE D.90,NO CATEGORY,TRANSPARENT,1665
100009780,100010013,12/29/2014,4/20/2015,12/29/2014,77469,MADISON,790159318,SOFAS,SECTIONALS,LES CONTEMPORAINS,URBAN (TOSS CUSHIONS),MERIDIENNE RIGHT,FABRIC,FABRIC CAT. 03,3230.04
100009780,100010013,12/29/2014,4/20/2015,12/29/2014,77469,MADISON,790159523,SOFAS,SOFA COMPLEMENTARY UNITS,LES CONTEMPORAINS,URBAN (TOSS CUSHIONS),SQUARE CUSHION N??3,FABRIC,FABRIC CAT. 08,735.3
100009780,100010013,12/29/2014,4/20/2015,12/29/2014,77469,MADISON,790159398,SOFAS,SECTIONALS,LES CONTEMPORAINS,URBAN (TOSS CUSHIONS),3-SEAT 1-ARM UNIT LEFT ARMREST,FABRIC,FABRIC CAT. 03,3245.05
